gutenberg_id,text,book
1321,  Footsteps shuffled on the stair.,The Waste Land
1321,"  Under the firelight, under the brush, her hair",The Waste Land
1321,  Spread out in fiery points,The Waste Land
1321,"  Glowed into words, then would be savagely still.                        110",The Waste Land
1321,,The Waste Land
1321,"  “My nerves are bad to-night. Yes, bad. Stay with me.",The Waste Land
1321,  “Speak to me. Why do you never speak. Speak.,The Waste Land
1321,  “What are you thinking of? What thinking? What?,The Waste Land
1321,  “I never know what you are thinking. Think.”,The Waste Land
1321,,The Waste Land
1321,  I think we are in rats’ alley,The Waste Land
1321,  Where the dead men lost their bones.,The Waste Land
1321,,The Waste Land
1321,  “What is that noise?”,The Waste Land
1321,                               The wind under the door.,The Waste Land
1321,  “What is that noise now? What is the wind doing?”,The Waste Land
1321,                               Nothing again nothing.                     120,The Waste Land
1321,                                                                    “Do,The Waste Land
1321,  “You know nothing? Do you see nothing? Do you remember,The Waste Land
1321,  “Nothing?”,The Waste Land
1321,,The Waste Land
1321,     I remember,The Waste Land
1321,  Those are pearls that were his eyes.,The Waste Land
1321,"  “Are you alive, or not? Is there nothing in your head?”",The Waste Land
1321,                                                                      But,The Waste Land
1321,  O O O O that Shakespeherian Rag—,The Waste Land
1321,  It’s so elegant,The Waste Land
1321,  So intelligent                                                          130,The Waste Land
1321,  “What shall I do now? What shall I do?”,The Waste Land
1321,"  I shall rush out as I am, and walk the street",The Waste Land
1321,"  “With my hair down, so. What shall we do tomorrow?",The Waste Land
1321,  “What shall we ever do?”,The Waste Land
1321,                                       The hot water at ten.,The Waste Land
1321,"  And if it rains, a closed car at four.",The Waste Land
1321,"  And we shall play a game of chess,",The Waste Land
1321,  Pressing lidless eyes and waiting for a knock upon the door.,The Waste Land
1321,,The Waste Land
1321,"  When Lil’s husband got demobbed, I said—",The Waste Land
1321,"  I didn’t mince my words, I said to her myself,                          140",The Waste Land
1321,  HURRY UP PLEASE IT’S TIME,The Waste Land
1321,"  Now Albert’s coming back, make yourself a bit smart.",The Waste Land
1321,  He’ll want to know what you done with that money he gave you,The Waste Land
1321,"  To get yourself some teeth. He did, I was there.",The Waste Land
1321,"  You have them all out, Lil, and get a nice set,",The Waste Land
1321,"  He said, I swear, I can’t bear to look at you.",The Waste Land
1321,"  And no more can’t I, I said, and think of poor Albert,",The Waste Land
1321,"  He’s been in the army four years, he wants a good time,",The Waste Land
1321,"  And if you don’t give it him, there’s others will, I said.",The Waste Land
1321,"  Oh is there, she said. Something o’ that, I said.                       150",The Waste Land
1321,"  Then I’ll know who to thank, she said, and give me a straight look.",The Waste Land
1321,  HURRY UP PLEASE IT’S TIME,The Waste Land
1321,"  If you don’t like it you can get on with it, I said.",The Waste Land
1321,  Others can pick and choose if you can’t.,The Waste Land
1321,"  But if Albert makes off, it won’t be for lack of telling.",The Waste Land
1321,"  You ought to be ashamed, I said, to look so antique.",The Waste Land
1321,  (And her only thirty-one.),The Waste Land
1321,"  I can’t help it, she said, pulling a long face,",The Waste Land
1321,"  It’s them pills I took, to bring it off, she said.",The Waste Land
1321,"  (She’s had five already, and nearly died of young George.)              160",The Waste Land
1321,"  The chemist said it would be all right, but I’ve never been the same.",The Waste Land
1321,"  You _are_ a proper fool, I said.",The Waste Land
1321,"  Well, if Albert won’t leave you alone, there it is, I said,",The Waste Land
1321,  What you get married for if you don’t want children?,The Waste Land
1321,  HURRY UP PLEASE IT’S TIME,The Waste Land
1321,"  Well, that Sunday Albert was home, they had a hot gammon,",The Waste Land
1321,"  And they asked me in to dinner, to get the beauty of it hot—",The Waste Land
1321,  HURRY UP PLEASE IT’S TIME,The Waste Land
1321,  HURRY UP PLEASE IT’S TIME,The Waste Land
1321,  Goonight Bill. Goonight Lou. Goonight May. Goonight.                    170,The Waste Land
1321,  Ta ta. Goonight. Goonight.,The Waste Land
1321,"  Good night, ladies, good night, sweet ladies, good night, good night.    ",The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,      III. THE FIRE SERMON,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,  The river’s tent is broken: the last fingers of leaf,The Waste Land
1321,  Clutch and sink into the wet bank. The wind,The Waste Land
1321,"  Crosses the brown land, unheard. The nymphs are departed.",The Waste Land
1321,"  Sweet Thames, run softly, till I end my song.",The Waste Land
1321,"  The river bears no empty bottles, sandwich papers,",The Waste Land
1321,"  Silk handkerchiefs, cardboard boxes, cigarette ends",The Waste Land
1321,  Or other testimony of summer nights. The nymphs are departed.,The Waste Land
1321,"  And their friends, the loitering heirs of city directors;               180",The Waste Land
1321,"  Departed, have left no addresses.",The Waste Land
1321,  By the waters of Leman I sat down and wept . . .,The Waste Land
1321,"  Sweet Thames, run softly till I end my song,",The Waste Land
1321,"  Sweet Thames, run softly, for I speak not loud or long.",The Waste Land
1321,  But at my back in a cold blast I hear,The Waste Land
1321,"  The rattle of the bones, and chuckle spread from ear to ear.",The Waste Land
1321,  A rat crept softly through the vegetation,The Waste Land
1321,  Dragging its slimy belly on the bank,The Waste Land
1321,  While I was fishing in the dull canal,The Waste Land
1321,  On a winter evening round behind the gashouse                           190,The Waste Land
1321,  Musing upon the king my brother’s wreck,The Waste Land
1321,  And on the king my father’s death before him.,The Waste Land
1321,  White bodies naked on the low damp ground,The Waste Land
1321,"  And bones cast in a little low dry garret,",The Waste Land
1321,"  Rattled by the rat’s foot only, year to year.",The Waste Land
1321,  But at my back from time to time I hear,The Waste Land
1321,"  The sound of horns and motors, which shall bring",The Waste Land
1321,  Sweeney to Mrs. Porter in the spring.,The Waste Land
1321,  O the moon shone bright on Mrs. Porter,The Waste Land
1321,  And on her daughter                                                     200,The Waste Land
1321,  They wash their feet in soda water,The Waste Land
1321,"  _Et O ces voix d’enfants, chantant dans la coupole!_",The Waste Land
1321,,The Waste Land
1321,  Twit twit twit,The Waste Land
1321,  Jug jug jug jug jug jug,The Waste Land
1321,  So rudely forc’d.,The Waste Land
1321,  Tereu,The Waste Land
1321,,The Waste Land
1321,  Unreal City,The Waste Land
1321,  Under the brown fog of a winter noon,The Waste Land
1321,"  Mr. Eugenides, the Smyrna merchant",The Waste Land
1321,"  Unshaven, with a pocket full of currants                                210",The Waste Land
1321,"  C.i.f. London: documents at sight,",The Waste Land
1321,  Asked me in demotic French,The Waste Land
1321,  To luncheon at the Cannon Street Hotel,The Waste Land
1321,  Followed by a weekend at the Metropole.,The Waste Land
1321,,The Waste Land
1321,"  At the violet hour, when the eyes and back",The Waste Land
1321,"  Turn upward from the desk, when the human engine waits",The Waste Land
1321,"  Like a taxi throbbing waiting,",The Waste Land
1321,"  I Tiresias, though blind, throbbing between two lives,",The Waste Land
1321,"  Old man with wrinkled female breasts, can see",The Waste Land
1321,"  At the violet hour, the evening hour that strives                       220",The Waste Land
1321,"  Homeward, and brings the sailor home from sea,",The Waste Land
1321,"  The typist home at teatime, clears her breakfast, lights",The Waste Land
1321,"  Her stove, and lays out food in tins.",The Waste Land
1321,  Out of the window perilously spread,The Waste Land
1321,"  Her drying combinations touched by the sun’s last rays,",The Waste Land
1321,  On the divan are piled (at night her bed),The Waste Land
1321,"  Stockings, slippers, camisoles, and stays.",The Waste Land
1321,"  I Tiresias, old man with wrinkled dugs",The Waste Land
1321,"  Perceived the scene, and foretold the rest—",The Waste Land
1321,  I too awaited the expected guest.                                       230,The Waste Land
1321,"  He, the young man carbuncular, arrives,",The Waste Land
1321,"  A small house agent’s clerk, with one bold stare,",The Waste Land
1321,  One of the low on whom assurance sits,The Waste Land
1321,  As a silk hat on a Bradford millionaire.,The Waste Land
1321,"  The time is now propitious, as he guesses,",The Waste Land
1321,"  The meal is ended, she is bored and tired,",The Waste Land
1321,  Endeavours to engage her in caresses,The Waste Land
1321,"  Which still are unreproved, if undesired.",The Waste Land
1321,"  Flushed and decided, he assaults at once;",The Waste Land
1321,  Exploring hands encounter no defence;                                   240,The Waste Land
1321,"  His vanity requires no response,",The Waste Land
1321,  And makes a welcome of indifference.,The Waste Land
1321,  (And I Tiresias have foresuffered all,The Waste Land
1321,  Enacted on this same divan or bed;,The Waste Land
1321,  I who have sat by Thebes below the wall,The Waste Land
1321,  And walked among the lowest of the dead.),The Waste Land
1321,"  Bestows one final patronising kiss,",The Waste Land
1321,"  And gropes his way, finding the stairs unlit . . .",The Waste Land
1321,,The Waste Land
1321,"  She turns and looks a moment in the glass,",The Waste Land
1321,  Hardly aware of her departed lover;                                     250,The Waste Land
1321,  Her brain allows one half-formed thought to pass:,The Waste Land
1321,  “Well now that’s done: and I’m glad it’s over.”,The Waste Land
1321,  When lovely woman stoops to folly and,The Waste Land
1321,"  Paces about her room again, alone,",The Waste Land
1321,"  She smooths her hair with automatic hand,",The Waste Land
1321,  And puts a record on the gramophone.,The Waste Land
1321,,The Waste Land
1321,  “This music crept by me upon the waters”,The Waste Land
1321,"  And along the Strand, up Queen Victoria Street.",The Waste Land
1321,"  O City city, I can sometimes hear",The Waste Land
1321,"  Beside a public bar in Lower Thames Street,                             260",The Waste Land
1321,  The pleasant whining of a mandoline,The Waste Land
1321,  And a clatter and a chatter from within,The Waste Land
1321,  Where fishmen lounge at noon: where the walls,The Waste Land
1321,  Of Magnus Martyr hold,The Waste Land
1321,  Inexplicable splendour of Ionian white and gold.,The Waste Land
1321,,The Waste Land
1321,       The river sweats,The Waste Land
1321,       Oil and tar,The Waste Land
1321,       The barges drift,The Waste Land
1321,       With the turning tide,The Waste Land
1321,       Red sails                                                          270,The Waste Land
1321,       Wide,The Waste Land
1321,"       To leeward, swing on the heavy spar.",The Waste Land
1321,       The barges wash,The Waste Land
1321,       Drifting logs,The Waste Land
1321,       Down Greenwich reach,The Waste Land
1321,       Past the Isle of Dogs.,The Waste Land
1321,            Weialala leia,The Waste Land
1321,            Wallala leialala,The Waste Land
1321,       Elizabeth and Leicester,The Waste Land
1321,       Beating oars                                                       280,The Waste Land
1321,       The stern was formed,The Waste Land
1321,       A gilded shell,The Waste Land
1321,       Red and gold,The Waste Land
1321,       The brisk swell,The Waste Land
1321,       Rippled both shores,The Waste Land
1321,       Southwest wind,The Waste Land
1321,       Carried down stream,The Waste Land
1321,       The peal of bells,The Waste Land
1321,       White towers,The Waste Land
1321,            Weialala leia                                                 290,The Waste Land
1321,            Wallala leialala,The Waste Land
1321,,The Waste Land
1321,  “Trams and dusty trees.,The Waste Land
1321,  Highbury bore me. Richmond and Kew,The Waste Land
1321,  Undid me. By Richmond I raised my knees,The Waste Land
1321,  Supine on the floor of a narrow canoe.”,The Waste Land
1321,,The Waste Land
1321,"  “My feet are at Moorgate, and my heart",The Waste Land
1321,  Under my feet. After the event,The Waste Land
1321,  He wept. He promised ‘a new start’.,The Waste Land
1321,  I made no comment. What should I resent?”,The Waste Land
1321,  “On Margate Sands.                                                      300,The Waste Land
1321,  I can connect,The Waste Land
1321,  Nothing with nothing.,The Waste Land
1321,  The broken fingernails of dirty hands.,The Waste Land
1321,  My people humble people who expect,The Waste Land
1321,  Nothing.”,The Waste Land
1321,       la la,The Waste Land
1321,,The Waste Land
1321,  To Carthage then I came,The Waste Land
1321,,The Waste Land
1321,  Burning burning burning burning,The Waste Land
1321,  O Lord Thou pluckest me out,The Waste Land
1321,  O Lord Thou pluckest                                                    310,The Waste Land
1321,,The Waste Land
1321,  burning    ,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,      IV. DEATH BY WATER,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,"  Phlebas the Phoenician, a fortnight dead,",The Waste Land
1321,"  Forgot the cry of gulls, and the deep sea swell",The Waste Land
1321,  And the profit and loss.,The Waste Land
1321,                                           A current under sea,The Waste Land
1321,  Picked his bones in whispers. As he rose and fell,The Waste Land
1321,  He passed the stages of his age and youth,The Waste Land
1321,  Entering the whirlpool.,The Waste Land
1321,                                         Gentile or Jew,The Waste Land
1321,"  O you who turn the wheel and look to windward,                          320",The Waste Land
1321,"  Consider Phlebas, who was once handsome and tall as you.    ",The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,      V. WHAT THE THUNDER SAID,The Waste Land
1321,,The Waste Land
1321,,The Waste Land
1321,  After the torchlight red on sweaty faces,The Waste Land
1321,  After the frosty silence in the gardens,The Waste Land
1321,  After the agony in stony places,The Waste Land
1321,  The shouting and the crying,The Waste Land
1321,  Prison and palace and reverberation,The Waste Land
1321,  Of thunder of spring over distant mountains,The Waste Land
1321,  He who was living is now dead,The Waste Land
1321,  We who were living are now dying,The Waste Land
1321,  With a little patience                                                  330,The Waste Land
1321,,The Waste Land
1321,  Here is no water but only rock,The Waste Land
1321,  Rock and no water and the sandy road,The Waste Land
1321,  The road winding above among the mountains,The Waste Land
1321,  Which are mountains of rock without water,The Waste Land
1321,  If there were water we should stop and drink,The Waste Land
1321,  Amongst the rock one cannot stop or think,The Waste Land
1321,  Sweat is dry and feet are in the sand,The Waste Land
1321,  If there were only water amongst the rock,The Waste Land
1321,  Dead mountain mouth of carious teeth that cannot spit,The Waste Land
1321,  Here one can neither stand nor lie nor sit                              340,The Waste Land
1321,  There is not even silence in the mountains,The Waste Land
1321,  But dry sterile thunder without rain,The Waste Land
1321,  There is not even solitude in the mountains,The Waste Land
1321,  But red sullen faces sneer and snarl,The Waste Land
1321,  From doors of mudcracked houses,The Waste Land
1321,                                                           If there were water,The Waste Land
1321,  And no rock,The Waste Land
1321,  If there were rock,The Waste Land
1321,  And also water,The Waste Land
1321,  And water                                                               350,The Waste Land
1321,  A spring,The Waste Land
1321,  A pool among the rock,The Waste Land
1321,  If there were the sound of water only,The Waste Land
1321,  Not the cicada,The Waste Land
1321,  And dry grass singing,The Waste Land
1321,  But sound of water over a rock,The Waste Land
1321,  Where the hermit-thrush sings in the pine trees,The Waste Land
1321,  Drip drop drip drop drop drop drop,The Waste Land
1321,  But there is no water,The Waste Land
1321,,The Waste Land
1321,  Who is the third who walks always beside you?,The Waste Land
1321,"  When I count, there are only you and I together                         360",The Waste Land
1321,  But when I look ahead up the white road,The Waste Land
1321,  There is always another one walking beside you,The Waste Land
1321,"  Gliding wrapt in a brown mantle, hooded",The Waste Land
1321,  I do not know whether a man or a woman,The Waste Land
1321,  —But who is that on the other side of you?,The Waste Land
1321,,The Waste Land
1321,  What is that sound high in the air,The Waste Land
1321,  Murmur of maternal lamentation,The Waste Land
1321,  Who are those hooded hordes swarming,The Waste Land
1321,"  Over endless plains, stumbling in cracked earth",The Waste Land
1321,  Ringed by the flat horizon only                                         370,The Waste Land
1321,  What is the city over the mountains,The Waste Land
1321,  Cracks and reforms and bursts in the violet air,The Waste Land
1321,  Falling towers,The Waste Land
1321,  Jerusalem Athens Alexandria,The Waste Land
1321,  Vienna London,The Waste Land
1321,  Unreal,The Waste Land
1321,,The Waste Land
1321,  A woman drew her long black hair out tight,The Waste Land
1321,  And fiddled whisper music on those strings,The Waste Land
1321,  And bats with baby faces in the violet light,The Waste Land
1321,"  Whistled, and beat their wings                                          380",The Waste Land
1321,  And crawled head downward down a blackened wall,The Waste Land
1321,  And upside down in air were towers,The Waste Land
1321,"  Tolling reminiscent bells, that kept the hours",The Waste Land
1321,  And voices singing out of empty cisterns and exhausted wells.,The Waste Land
1321,,The Waste Land
1321,  In this decayed hole among the mountains,The Waste Land
1321,"  In the faint moonlight, the grass is singing",The Waste Land
1321,"  Over the tumbled graves, about the chapel",The Waste Land
1321,"  There is the empty chapel, only the wind’s home.",The Waste Land
1321,"  It has no windows, and the door swings,",The Waste Land
1321,  Dry bones can harm no one.                                              390,The Waste Land
1321,  Only a cock stood on the rooftree,The Waste Land
1321,  Co co rico co co rico,The Waste Land
1321,  In a flash of lightning. Then a damp gust,The Waste Land
1321,  Bringing rain,The Waste Land
1321,,The Waste Land
1321,"  Ganga was sunken, and the limp leaves",The Waste Land
1321,"  Waited for rain, while the black clouds",The Waste Land
1321,"  Gathered far distant, over Himavant.",The Waste Land
1321,"  The jungle crouched, humped in silence.",The Waste Land
1321,  Then spoke the thunder,The Waste Land
1321,  DA                                                                      400,The Waste Land
1321,  _Datta:_ what have we given?,The Waste Land
1321,"  My friend, blood shaking my heart",The Waste Land
1321,  The awful daring of a moment’s surrender,The Waste Land
1321,  Which an age of prudence can never retract,The Waste Land
1321,"  By this, and this only, we have existed",The Waste Land
1321,  Which is not to be found in our obituaries,The Waste Land
