gutenberg_id,text,book,author
1429,looking for their milk-girl. When she saw the old sheep-dog she sprang,The Garden Party,Katherine Mansfield
1429,"up quickly, arched her back, drew in her tabby head, and seemed to give",The Garden Party,Katherine Mansfield
1429,"a little fastidious shiver. “Ugh! What a coarse, revolting creature!”",The Garden Party,Katherine Mansfield
1429,"said Florrie. But the old sheep-dog, not looking up, waggled past,",The Garden Party,Katherine Mansfield
1429,flinging out his legs from side to side. Only one of his ears twitched,The Garden Party,Katherine Mansfield
1429,"to prove that he saw, and thought her a silly young female.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,The breeze of morning lifted in the bush and the smell of leaves and,The Garden Party,Katherine Mansfield
1429,wet black earth mingled with the sharp smell of the sea. Myriads of,The Garden Party,Katherine Mansfield
1429,"birds were singing. A goldfinch flew over the shepherd’s head and,",The Garden Party,Katherine Mansfield
1429,"perching on the tiptop of a spray, it turned to the sun, ruffling its",The Garden Party,Katherine Mansfield
1429,"small breast feathers. And now they had passed the fisherman’s hut,",The Garden Party,Katherine Mansfield
1429,passed the charred-looking little _whare_ where Leila the milk-girl,The Garden Party,Katherine Mansfield
1429,"lived with her old Gran. The sheep strayed over a yellow swamp and Wag,",The Garden Party,Katherine Mansfield
1429,"the sheep-dog, padded after, rounded them up and headed them for the",The Garden Party,Katherine Mansfield
1429,"steeper, narrower rocky pass that led out of Crescent Bay and towards",The Garden Party,Katherine Mansfield
1429,Daylight Cove. “Baa! Baa!” Faint the cry came as they rocked along the,The Garden Party,Katherine Mansfield
1429,"fast-drying road. The shepherd put away his pipe, dropping it into his",The Garden Party,Katherine Mansfield
1429,breast-pocket so that the little bowl hung over. And straightway the,The Garden Party,Katherine Mansfield
1429,soft airy whistling began again. Wag ran out along a ledge of rock,The Garden Party,Katherine Mansfield
1429,"after something that smelled, and ran back again disgusted. Then",The Garden Party,Katherine Mansfield
1429,"pushing, nudging, hurrying, the sheep rounded the bend and the shepherd",The Garden Party,Katherine Mansfield
1429,followed after out of sight.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,II,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"A few moments later the back door of one of the bungalows opened, and a",The Garden Party,Katherine Mansfield
1429,"figure in a broad-striped bathing suit flung down the paddock, cleared",The Garden Party,Katherine Mansfield
1429,"the stile, rushed through the tussock grass into the hollow, staggered",The Garden Party,Katherine Mansfield
1429,"up the sandy hillock, and raced for dear life over the big porous",The Garden Party,Katherine Mansfield
1429,"stones, over the cold, wet pebbles, on to the hard sand that gleamed",The Garden Party,Katherine Mansfield
1429,like oil. Splish-Splosh! Splish-Splosh! The water bubbled round his,The Garden Party,Katherine Mansfield
1429,legs as Stanley Burnell waded out exulting. First man in as usual! He’d,The Garden Party,Katherine Mansfield
1429,beaten them all again. And he swooped down to souse his head and neck.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Hail, brother! All hail, Thou Mighty One!” A velvety bass voice came",The Garden Party,Katherine Mansfield
1429,booming over the water.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Great Scott! Damnation take it! Stanley lifted up to see a dark head,The Garden Party,Katherine Mansfield
1429,bobbing far out and an arm lifted. It was Jonathan Trout—there before,The Garden Party,Katherine Mansfield
1429,him! “Glorious morning!” sang the voice.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Yes, very fine!” said Stanley briefly. Why the dickens didn’t the",The Garden Party,Katherine Mansfield
1429,fellow stick to his part of the sea? Why should he come barging over to,The Garden Party,Katherine Mansfield
1429,"this exact spot? Stanley gave a kick, a lunge and struck out, swimming",The Garden Party,Katherine Mansfield
1429,"overarm. But Jonathan was a match for him. Up he came, his black hair",The Garden Party,Katherine Mansfield
1429,"sleek on his forehead, his short beard sleek.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“I had an extraordinary dream last night!” he shouted.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,What was the matter with the man? This mania for conversation irritated,The Garden Party,Katherine Mansfield
1429,Stanley beyond words. And it was always the same—always some piffle,The Garden Party,Katherine Mansfield
1429,"about a dream he’d had, or some cranky idea he’d got hold of, or some",The Garden Party,Katherine Mansfield
1429,rot he’d been reading. Stanley turned over on his back and kicked with,The Garden Party,Katherine Mansfield
1429,his legs till he was a living waterspout. But even then.... “I dreamed,The Garden Party,Katherine Mansfield
1429,"I was hanging over a terrifically high cliff, shouting to some one",The Garden Party,Katherine Mansfield
1429,below.” You would be! thought Stanley. He could stick no more of it. He,The Garden Party,Katherine Mansfield
1429,"stopped splashing. “Look here, Trout,” he said, “I’m in rather a hurry",The Garden Party,Katherine Mansfield
1429,this morning.”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“You’re WHAT?” Jonathan was so surprised—or pretended to be—that he,The Garden Party,Katherine Mansfield
1429,"sank under the water, then reappeared again blowing.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“All I mean is,” said Stanley, “I’ve no time to—to—to fool about. I",The Garden Party,Katherine Mansfield
1429,want to get this over. I’m in a hurry. I’ve work to do this,The Garden Party,Katherine Mansfield
1429,morning—see?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Jonathan was gone before Stanley had finished. “Pass, friend!” said the",The Garden Party,Katherine Mansfield
1429,"bass voice gently, and he slid away through the water with scarcely a",The Garden Party,Katherine Mansfield
1429,ripple.... But curse the fellow! He’d ruined Stanley’s bathe. What an,The Garden Party,Katherine Mansfield
1429,"unpractical idiot the man was! Stanley struck out to sea again, and",The Garden Party,Katherine Mansfield
1429,"then as quickly swam in again, and away he rushed up the beach. He felt",The Garden Party,Katherine Mansfield
1429,cheated.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Jonathan stayed a little longer in the water. He floated, gently moving",The Garden Party,Katherine Mansfield
1429,"his hands like fins, and letting the sea rock his long, skinny body. It",The Garden Party,Katherine Mansfield
1429,"was curious, but in spite of everything he was fond of Stanley Burnell.",The Garden Party,Katherine Mansfield
1429,"True, he had a fiendish desire to tease him sometimes, to poke fun at",The Garden Party,Katherine Mansfield
1429,"him, but at bottom he was sorry for the fellow. There was something",The Garden Party,Katherine Mansfield
1429,pathetic in his determination to make a job of everything. You couldn’t,The Garden Party,Katherine Mansfield
1429,"help feeling he’d be caught out one day, and then what an almighty",The Garden Party,Katherine Mansfield
1429,"cropper he’d come! At that moment an immense wave lifted Jonathan, rode",The Garden Party,Katherine Mansfield
1429,"past him, and broke along the beach with a joyful sound. What a beauty!",The Garden Party,Katherine Mansfield
1429,"And now there came another. That was the way to live—carelessly,",The Garden Party,Katherine Mansfield
1429,"recklessly, spending oneself. He got on to his feet and began to wade",The Garden Party,Katherine Mansfield
1429,"towards the shore, pressing his toes into the firm, wrinkled sand. To",The Garden Party,Katherine Mansfield
1429,"take things easy, not to fight against the ebb and flow of life, but to",The Garden Party,Katherine Mansfield
1429,give way to it—that was what was needed. It was this tension that was,The Garden Party,Katherine Mansfield
1429,"all wrong. To live—to live! And the perfect morning, so fresh and fair,",The Garden Party,Katherine Mansfield
1429,"basking in the light, as though laughing at its own beauty, seemed to",The Garden Party,Katherine Mansfield
1429,"whisper, “Why not?”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,But now he was out of the water Jonathan turned blue with cold. He,The Garden Party,Katherine Mansfield
1429,ached all over; it was as though some one was wringing the blood out of,The Garden Party,Katherine Mansfield
1429,"him. And stalking up the beach, shivering, all his muscles tight, he",The Garden Party,Katherine Mansfield
1429,too felt his bathe was spoilt. He’d stayed in too long.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,III,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Beryl was alone in the living-room when Stanley appeared, wearing a",The Garden Party,Katherine Mansfield
1429,"blue serge suit, a stiff collar and a spotted tie. He looked almost",The Garden Party,Katherine Mansfield
1429,uncannily clean and brushed; he was going to town for the day. Dropping,The Garden Party,Katherine Mansfield
1429,"into his chair, he pulled out his watch and put it beside his plate.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“I’ve just got twenty-five minutes,” he said. “You might go and see if",The Garden Party,Katherine Mansfield
1429,"the porridge is ready, Beryl?”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Mother’s just gone for it,” said Beryl. She sat down at the table and",The Garden Party,Katherine Mansfield
1429,poured out his tea.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Thanks!” Stanley took a sip. “Hallo!” he said in an astonished voice,",The Garden Party,Katherine Mansfield
1429,“you’ve forgotten the sugar.”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Oh, sorry!” But even then Beryl didn’t help him; she pushed the basin",The Garden Party,Katherine Mansfield
1429,across. What did this mean? As Stanley helped himself his blue eyes,The Garden Party,Katherine Mansfield
1429,widened; they seemed to quiver. He shot a quick glance at his,The Garden Party,Katherine Mansfield
1429,sister-in-law and leaned back.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Nothing wrong, is there?” he asked carelessly, fingering his collar.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Beryl’s head was bent; she turned her plate in her fingers.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Nothing,” said her light voice. Then she too looked up, and smiled at",The Garden Party,Katherine Mansfield
1429,Stanley. “Why should there be?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“O-oh! No reason at all as far as I know. I thought you seemed rather—”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"At that moment the door opened and the three little girls appeared,",The Garden Party,Katherine Mansfield
1429,each carrying a porridge plate. They were dressed alike in blue jerseys,The Garden Party,Katherine Mansfield
1429,"and knickers; their brown legs were bare, and each had her hair plaited",The Garden Party,Katherine Mansfield
1429,and pinned up in what was called a horse’s tail. Behind them came Mrs.,The Garden Party,Katherine Mansfield
1429,Fairfield with the tray.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Carefully, children,” she warned. But they were taking the very",The Garden Party,Katherine Mansfield
1429,greatest care. They loved being allowed to carry things. “Have you said,The Garden Party,Katherine Mansfield
1429,good morning to your father?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Yes, grandma.” They settled themselves on the bench opposite Stanley",The Garden Party,Katherine Mansfield
1429,and Beryl.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Good morning, Stanley!” Old Mrs. Fairfield gave him his plate.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Morning, mother! How’s the boy?”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Splendid! He only woke up once last night. What a perfect morning!”,The Garden Party,Katherine Mansfield
1429,"The old woman paused, her hand on the loaf of bread, to gaze out of the",The Garden Party,Katherine Mansfield
1429,open door into the garden. The sea sounded. Through the wide-open,The Garden Party,Katherine Mansfield
1429,window streamed the sun on to the yellow varnished walls and bare,The Garden Party,Katherine Mansfield
1429,floor. Everything on the table flashed and glittered. In the middle,The Garden Party,Katherine Mansfield
1429,there was an old salad bowl filled with yellow and red nasturtiums. She,The Garden Party,Katherine Mansfield
1429,"smiled, and a look of deep content shone in her eyes.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“You might _cut_ me a slice of that bread, mother,” said Stanley. “I’ve",The Garden Party,Katherine Mansfield
1429,only twelve and a half minutes before the coach passes. Has anyone,The Garden Party,Katherine Mansfield
1429,given my shoes to the servant girl?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Yes, they’re ready for you.” Mrs. Fairfield was quite unruffled.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Oh, Kezia! Why are you such a messy child!” cried Beryl despairingly.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Me, Aunt Beryl?” Kezia stared at her. What had she done now? She had",The Garden Party,Katherine Mansfield
1429,"only dug a river down the middle of her porridge, filled it, and was",The Garden Party,Katherine Mansfield
1429,"eating the banks away. But she did that every single morning, and no",The Garden Party,Katherine Mansfield
1429,one had said a word up till now.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Why can’t you eat your food properly like Isabel and Lottie?” How,The Garden Party,Katherine Mansfield
1429,unfair grown-ups are!,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“But Lottie always makes a floating island, don’t you, Lottie?”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“I don’t,” said Isabel smartly. “I just sprinkle mine with sugar and",The Garden Party,Katherine Mansfield
1429,put on the milk and finish it. Only babies play with their food.”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Stanley pushed back his chair and got up.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Would you get me those shoes, mother? And, Beryl, if you’ve finished,",The Garden Party,Katherine Mansfield
1429,I wish you’d cut down to the gate and stop the coach. Run in to your,The Garden Party,Katherine Mansfield
1429,"mother, Isabel, and ask her where my bowler hat’s been put. Wait a",The Garden Party,Katherine Mansfield
1429,minute—have you children been playing with my stick?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“No, father!”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“But I put it here.” Stanley began to bluster. “I remember distinctly,The Garden Party,Katherine Mansfield
1429,"putting it in this corner. Now, who’s had it? There’s no time to lose.",The Garden Party,Katherine Mansfield
1429,Look sharp! The stick’s got to be found.”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Even Alice, the servant-girl, was drawn into the chase. “You haven’t",The Garden Party,Katherine Mansfield
1429,been using it to poke the kitchen fire with by any chance?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Stanley dashed into the bedroom where Linda was lying. “Most,The Garden Party,Katherine Mansfield
1429,extraordinary thing. I can’t keep a single possession to myself.,The Garden Party,Katherine Mansfield
1429,"They’ve made away with my stick, now!”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Stick, dear? What stick?” Linda’s vagueness on these occasions could",The Garden Party,Katherine Mansfield
1429,"not be real, Stanley decided. Would nobody sympathize with him?",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Coach! Coach, Stanley!” Beryl’s voice cried from the gate.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Stanley waved his arm to Linda. “No time to say good-bye!” he cried.,The Garden Party,Katherine Mansfield
1429,And he meant that as a punishment to her.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"He snatched his bowler hat, dashed out of the house, and swung down the",The Garden Party,Katherine Mansfield
1429,"garden path. Yes, the coach was there waiting, and Beryl, leaning over",The Garden Party,Katherine Mansfield
1429,"the open gate, was laughing up at somebody or other just as if nothing",The Garden Party,Katherine Mansfield
1429,had happened. The heartlessness of women! The way they took it for,The Garden Party,Katherine Mansfield
1429,granted it was your job to slave away for them while they didn’t even,The Garden Party,Katherine Mansfield
1429,take the trouble to see that your walking-stick wasn’t lost. Kelly,The Garden Party,Katherine Mansfield
1429,trailed his whip across the horses.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Good-bye, Stanley,” called Beryl, sweetly and gaily. It was easy",The Garden Party,Katherine Mansfield
1429,"enough to say good-bye! And there she stood, idle, shading her eyes",The Garden Party,Katherine Mansfield
1429,"with her hand. The worst of it was Stanley had to shout good-bye too,",The Garden Party,Katherine Mansfield
1429,"for the sake of appearances. Then he saw her turn, give a little skip",The Garden Party,Katherine Mansfield
1429,and run back to the house. She was glad to be rid of him!,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Yes, she was thankful. Into the living-room she ran and called “He’s",The Garden Party,Katherine Mansfield
1429,gone!” Linda cried from her room: “Beryl! Has Stanley gone?” Old Mrs.,The Garden Party,Katherine Mansfield
1429,"Fairfield appeared, carrying the boy in his little flannel coatee.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Gone?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Gone!”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Oh, the relief, the difference it made to have the man out of the",The Garden Party,Katherine Mansfield
1429,house. Their very voices were changed as they called to one another;,The Garden Party,Katherine Mansfield
1429,they sounded warm and loving and as if they shared a secret. Beryl went,The Garden Party,Katherine Mansfield
1429,"over to the table. “Have another cup of tea, mother. It’s still hot.”",The Garden Party,Katherine Mansfield
1429,"She wanted, somehow, to celebrate the fact that they could do what they",The Garden Party,Katherine Mansfield
1429,liked now. There was no man to disturb them; the whole perfect day was,The Garden Party,Katherine Mansfield
1429,theirs.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“No, thank you, child,” said old Mrs. Fairfield, but the way at that",The Garden Party,Katherine Mansfield
1429,moment she tossed the boy up and said “a-goos-a-goos-a-ga!” to him,The Garden Party,Katherine Mansfield
1429,meant that she felt the same. The little girls ran into the paddock,The Garden Party,Katherine Mansfield
1429,like chickens let out of a coop.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"Even Alice, the servant-girl, washing up the dishes in the kitchen,",The Garden Party,Katherine Mansfield
1429,caught the infection and used the precious tank water in a perfectly,The Garden Party,Katherine Mansfield
1429,reckless fashion.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Oh, these men!” said she, and she plunged the teapot into the bowl and",The Garden Party,Katherine Mansfield
1429,"held it under the water even after it had stopped bubbling, as if it",The Garden Party,Katherine Mansfield
1429,too was a man and drowning was too good for them.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,IV,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Wait for me, Isa-bel! Kezia, wait for me!”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"There was poor little Lottie, left behind again, because she found it",The Garden Party,Katherine Mansfield
1429,so fearfully hard to get over the stile by herself. When she stood on,The Garden Party,Katherine Mansfield
1429,the first step her knees began to wobble; she grasped the post. Then,The Garden Party,Katherine Mansfield
1429,you had to put one leg over. But which leg? She never could decide. And,The Garden Party,Katherine Mansfield
1429,when she did finally put one leg over with a sort of stamp of,The Garden Party,Katherine Mansfield
1429,despair—then the feeling was awful. She was half in the paddock still,The Garden Party,Katherine Mansfield
1429,and half in the tussock grass. She clutched the post desperately and,The Garden Party,Katherine Mansfield
1429,lifted up her voice. “Wait for me!”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“No, don’t you wait for her, Kezia!” said Isabel. “She’s such a little",The Garden Party,Katherine Mansfield
1429,silly. She’s always making a fuss. Come on!” And she tugged Kezia’s,The Garden Party,Katherine Mansfield
1429,"jersey. “You can use my bucket if you come with me,” she said kindly.",The Garden Party,Katherine Mansfield
1429,“It’s bigger than yours.” But Kezia couldn’t leave Lottie all by,The Garden Party,Katherine Mansfield
1429,herself. She ran back to her. By this time Lottie was very red in the,The Garden Party,Katherine Mansfield
1429,face and breathing heavily.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Here, put your other foot over,” said Kezia.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Where?”,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,Lottie looked down at Kezia as if from a mountain height.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,“Here where my hand is.” Kezia patted the place.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Oh, _there_ do you mean!” Lottie gave a deep sigh and put the second",The Garden Party,Katherine Mansfield
1429,foot over.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“Now—sort of turn round and sit down and slide,” said Kezia.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“But there’s nothing to sit down _on_, Kezia,” said Lottie.",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"She managed it at last, and once it was over she shook herself and",The Garden Party,Katherine Mansfield
1429,began to beam.,The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
1429,"“I’m getting better at climbing over stiles, aren’t I, Kezia?”",The Garden Party,Katherine Mansfield
1429,,The Garden Party,Katherine Mansfield
