word,n
quivering,1
quote,1
quoting,1
race,1
rate,1
real,1
red,1
regal,1
reliable,1
religious,1
reproached,1
respectable,1
respected,1
ribbon,1
rich,1
ridiculous,1
rising,1
river,1
roared,1
roden,1
rods,1
roll,1
romney,1
rust,1
sake,1
salmon,1
saluted,1
sargent,1
sat,1
satin,1
scope,1
sea,1
selling,1
send,1
sensual,1
sentences,1
separate,1
september,1
seymour,1
shabby,1
shade,1
shakespeare,1
shakespeare's,1
shelley,1
shillings,1
shoes,1
shook,1
shooting,1
shopwoman's,1
shopwomen,1
shouldered,1
shouted,1
shown,1
shuffle,1
shut,1
shy,1
sick,1
sideways,1
sighed,1
silver,1
simply,1
skin,1
sky,1
slipping,1
sloping,1
slowly,1
smoke,1
smoothly,1
snail,1
soapy,1
socks,1
sold,1
solemn,1
sonnets,1
sorrows,1
sorts,1
south,1
spanish,1
speak,1
spectacles,1
spoken,1
sponge,1
spots,1
square,1
st,1
standing,1
starry,1
stars,1
steel,1
stepped,1
stewart,1
stiff,1
stiffened,1
stiffly,1
stirred,1
stirring,1
stooping,1
stop,1
strangely,1
straying,1
stream,1
streets,1
stretching,1
striking,1
stroke,1
strokes,1
stuffy,1
sublime,1
suck,1
suddenly,1
suffering,1
sugar,1
sunshine,1
sway,1
swindle,1
swing,1
table,1
takes,1
talked,1
tanning,1
task,1
tears,1
telegram,1
telegraph,1
tells,1
ten,1
tenth,1
test,1
thin,1
thinking,1
thou,1
thousands,1
thrown,1
thy,1
ticked,1
tickets,1
tight,1
till,1
tingling,1
tip,1
tired,1
tiresome,1
tissue,1
told,1
tongue,1
trade,1
traffic,1
trouble,1
tugged,1
unattractive,1
uncle,1
uncompromising,1
undo,1
unhappy,1
unused,1
useless,1
vacantly,1
violent,1
vitality,1
volume,1
walk,1
walks,1
washed,1
waves,1
weak,1
wearing,1
wears,1
webs,1
wheels,1
wide,1
william,1
windows,1
wires,1
word,1
wordly,1
words,1
wretches,1
written,1
yard,1
yellow,1
yew,1
